alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa,general_drug_usage
5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,22
5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0,43
6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,20
4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0,24
4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0,27
2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,18
6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,24
5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,22
6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,27
5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1,24
5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0,35
5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0,34
1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,24
5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0,24
6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0,27
6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0,36
6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0,33
4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0,26
6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0,27
5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0,20
4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1,39
5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0,29
5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0,32
6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,27
6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0,36
6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,16
0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12
6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0,31
3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,14
6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0,30
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1,37
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,21
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0,32
6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0,19
6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0,25
5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,21
4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,15
6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0,41
6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0,38
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,18
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1,18
5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,16
6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0,33
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,23
6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0,42
2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0,24
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,17
5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0,24
6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0,35
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10
5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1,50
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,21
5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1,18
5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,19
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0,32
5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20
4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9
5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0,28
5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0,30
6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,20
6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1,36
5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,24
6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0,22
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,19
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,16
5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,18
4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,21
3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0,26
6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1,25
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,18
6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,22
5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0,28
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,27
5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,23
5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,24
5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,16
3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0,21
5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1,23
6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0,25
2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0,15
4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,18
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0,24
6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0,26
4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0,25
5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0,22
4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0,21
6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0,31
6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0,49
4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,22
6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0,41
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0,35
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0,29
5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0,28
5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0,23
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,18
3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0,23
4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,23
4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0,41
5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0,34
4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0,22
5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0,43
5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0,32
5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0,16
6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0,24
2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,14
6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0,17
5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1,26
3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0,19
5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,19
5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,23
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,22
5,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,5,0,0,23
6,1,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,0,1,25
1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12
5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,17
4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,19
6,0,0,4,6,1,6,0,0,0,0,0,0,0,2,0,6,0,0,31
6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,24
5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18
5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,20
6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0,22
1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13
6,0,0,0,6,3,5,0,0,0,0,0,0,1,0,1,1,0,1,24
4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,18
6,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,19
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,1,0,0,16
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,18
5,0,0,0,6,2,6,0,0,2,0,0,0,0,0,0,2,0,0,23
5,0,1,2,6,2,4,1,0,1,0,0,2,0,0,1,5,0,0,30
6,0,1,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,19
5,0,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
5,2,1,1,6,2,6,2,0,0,0,0,0,0,0,0,5,0,0,30
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,19
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13
5,1,1,1,6,6,6,1,0,2,0,0,0,1,0,1,3,0,0,34
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0,20
3,0,0,0,5,2,6,0,0,2,0,0,2,0,0,0,1,0,0,21
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,22
3,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,1,0,0,15
6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,19
5,0,0,0,5,4,5,3,3,0,0,0,2,0,0,3,6,0,3,39
2,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13
5,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,1,0,0,20
5,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0,23
2,1,1,3,6,2,5,2,0,0,0,0,0,0,3,0,1,0,0,26
6,0,1,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0,22
5,0,0,0,6,2,6,0,0,0,0,0,0,1,0,1,5,0,0,26
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
6,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,25
5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0,21
3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12
5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
5,1,0,0,6,1,6,0,0,0,0,0,0,0,0,1,6,0,0,26
5,1,0,0,6,2,4,1,0,1,0,0,0,1,0,1,6,0,0,28
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,18
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9
6,3,0,0,6,0,5,6,0,3,0,3,3,0,0,0,6,0,6,47
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,23
5,0,0,0,6,3,5,1,0,0,0,0,0,1,0,1,0,0,0,22
6,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,1,0,0,18
4,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,1,0,0,14
4,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,21
5,0,0,0,5,2,4,0,0,0,0,0,0,0,0,0,3,0,0,19
5,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,2,0,0,20
5,1,0,1,6,5,4,1,1,1,0,0,0,1,0,1,6,0,0,33
5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,18
3,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,14
5,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0,4,0,0,23
4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13
5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15
6,5,5,2,5,6,6,5,0,3,2,3,3,3,0,3,6,0,1,64
4,4,1,1,6,4,5,3,0,6,0,2,2,4,0,3,6,0,0,51
6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
5,3,3,2,6,2,6,4,2,4,0,2,2,2,0,2,4,0,0,49
6,0,0,3,6,1,2,0,0,0,0,0,0,0,0,0,1,0,0,19
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,22
5,2,2,2,6,2,5,2,0,2,0,2,0,2,0,2,4,0,2,40
5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
5,1,4,1,6,6,3,2,0,1,0,1,3,1,0,1,6,0,1,42
4,1,1,0,6,6,5,4,0,3,0,3,3,2,0,3,6,0,0,47
0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10
3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
6,1,1,0,6,1,5,0,0,1,0,0,0,1,0,1,6,0,0,29
5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
5,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,2,0,0,20
5,2,0,0,6,4,4,3,0,3,0,0,0,0,0,2,3,0,0,32
5,1,1,0,6,1,5,2,0,1,0,3,0,0,0,0,3,0,0,28
2,1,1,1,6,1,6,1,1,1,1,1,0,1,1,0,6,0,1,32
4,0,0,0,6,3,6,0,0,0,0,0,0,0,0,2,3,0,0,24
6,1,1,1,4,1,5,2,0,1,0,0,0,0,0,0,6,0,0,28
5,0,2,0,6,3,5,0,0,2,0,0,3,0,0,0,3,0,0,29
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0,17
6,2,0,0,5,2,5,2,0,2,0,0,0,0,0,1,2,0,0,27
1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,9
5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11
6,1,0,0,6,0,5,3,0,2,0,0,0,0,0,0,6,0,0,29
5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,19
5,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,4,0,0,24
6,1,1,1,6,2,6,1,0,1,0,1,0,0,0,1,2,0,0,29
6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,19
5,0,0,2,5,1,6,0,0,0,0,0,0,0,0,0,3,0,0,22
6,0,0,1,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,19
5,1,0,0,6,0,6,0,0,1,0,0,0,1,0,0,0,0,0,20
6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0,20
5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
5,1,1,0,6,3,6,0,0,0,0,0,0,0,0,0,6,0,0,28
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,1,0,0,18
5,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,2,0,1,20
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,3,23
5,3,1,2,6,3,4,3,2,2,0,0,3,0,0,0,5,0,1,40
5,0,0,3,6,1,6,0,0,1,0,0,0,0,0,0,0,0,0,22
5,1,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,25
5,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0,19
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15
5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,17
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,2,0,0,19
6,0,0,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,0,23
4,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,3,0,0,20
5,1,0,0,5,2,6,0,0,0,0,0,0,0,0,0,2,0,0,21
4,2,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,15
4,1,1,1,6,1,6,2,0,2,0,0,2,1,0,1,4,0,1,33
5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0,0,0,6,2,5,0,0,0,0,0,0,1,0,0,0,0,0,19
2,0,1,2,0,1,6,0,0,0,0,0,0,1,0,1,6,0,0,20
3,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13
5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,12
5,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,17
2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14
6,1,0,0,6,3,6,0,0,0,0,0,0,1,0,0,1,0,0,24
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,20
4,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12
6,0,0,0,6,1,6,0,0,0,0,0,0,1,0,0,0,0,0,20
6,1,1,0,6,1,5,0,0,0,0,0,1,0,2,1,2,0,0,26
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,19
6,3,3,4,6,3,6,3,0,2,0,2,3,2,0,1,4,0,0,48
6,1,6,5,6,3,4,1,1,1,0,1,0,1,0,0,6,0,0,42
4,0,0,0,6,1,4,1,0,1,0,1,0,0,0,0,2,0,0,20
6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,13
5,2,2,2,5,4,5,3,0,3,0,2,0,2,0,3,3,0,0,41
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
5,1,0,2,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,22
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,19
5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
5,0,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,17
6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
3,2,2,3,6,2,5,2,0,2,0,0,0,0,0,2,6,0,0,35
5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,5,0,0,20
5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,18
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,24
4,0,1,0,6,2,5,0,0,0,0,0,0,0,0,0,6,0,0,24
0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11
5,1,0,0,4,5,5,0,0,0,0,0,0,0,0,0,4,0,0,24
3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12
3,1,1,0,3,3,6,0,0,0,0,0,0,0,0,0,6,0,1,24
5,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15
5,0,1,4,5,2,6,0,0,0,2,0,0,0,0,0,2,0,0,27
0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14
3,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,6,0,0,17
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,19
6,0,0,1,6,2,5,0,0,0,0,0,0,0,0,2,1,0,0,23
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
4,1,2,0,6,0,4,1,0,1,0,0,0,1,0,0,0,0,0,20
5,0,1,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0,22
5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,18
5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16
6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18
3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,4,0,1,21
3,0,0,0,6,1,6,1,0,0,0,0,0,0,0,0,2,0,0,19
6,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19
